PictureName,DateTime,Irradiance,IrradianceNotCompensated,BodyTemperature,RelativeHumidity,HumidityTemp,Pressure,PressureAvg,PressureTemp,PressureTempAvg,TiltAngle,TiltAngleAvg,FanSpeed,HeaterCurrent,FanCurrent,SunLatitude,SunLongitude,SunAzimuth,SunZenith
Alpnach_20180804_13-17-30_ExposureStack_Image_10_image.png,08/04/2018 15:17:33.620#395,807.12,802.71,37.67,6.31,39.04,1085.15625,1085.375,38.8203125,38.8046875,0.18,0.13,8843,0.333,0.065,46.935881,8.27584,224.687587273101,53.2668411926813
Alpnach_20180804_13-48-20_ExposureStack_Image_10_image.png,08/04/2018 15:48:23.686#5224,733.28,729.14,37.96,6.41,39.32,1086.6875,1086.71875,39.1328125,39.05078125,0.16,0.13,8835,0.333,0.065,46.935881,8.27584,234.568386314021,49.2514642522005
Alpnach_20180804_14-43-30_ExposureStack_Image_10_image.png,08/04/2018 16:43:33.720#2740,679.39,675.63,37.79,6.38,39.17,1086.09375,1086.0625,38.87109375,38.8984375,0.08,0.13,8841,0.332,0.065,46.935881,8.27584,249.120720087406,40.9452626935702
Alpnach_20180804_14-20-30_ExposureStack_Image_10_image.png,08/04/2018 16:20:33.682#9894,433.52,431.39,36.74,6.24,38.14,1081.5,1081.75,37.89453125,37.8515625,0.16,0.13,8857,0.333,0.065,46.935881,8.27584,243.463298432793,44.5410333215055
Alpnach_20180804_14-44-10_ExposureStack_Image_10_image.png,08/04/2018 16:44:13.863#5620,678.02,674.26,37.81,6.4,39.2,1086.3125,1086.21875,38.98046875,38.94140625,0.08,0.14,8838,0.332,0.065,46.935881,8.27584,249.277312783891,40.8388832385048
Alpnach_20180804_14-46-50_ExposureStack_Image_10_image.png,08/04/2018 16:46:53.582#7525,633.53,629.99,37.89,6.41,39.26,1086.46875,1086.46875,38.94140625,38.9921875,0.04,0.14,8836,0.332,0.065,46.935881,8.27584,249.900107494146,40.4121339572891
Alpnach_20180804_14-49-00_ExposureStack_Image_10_image.png,08/04/2018 16:49:03.621#7125,577.29,574.03,37.96,6.41,39.34,1086.78125,1086.71875,39.1015625,39.09765625,0.12,0.14,8839,0.332,0.065,46.935881,8.27584,250.401714145467,40.0641750050617
Alpnach_20180804_14-52-10_ExposureStack_Image_10_image.png,08/04/2018 16:52:13.655#6779,522.19,519.3,37.78,6.37,39.17,1085.9375,1086.03125,38.96484375,38.9375,0.19,0.14,8841,0.334,0.065,46.935881,8.27584,251.127926452087,39.5537042897228
Alpnach_20180804_15-56-20_ExposureStack_Image_10_image.png,08/04/2018 17:56:23.637#1025,151.09,150.51,34.9,6.0,36.37,1074.46875,1074.625,35.92578125,36.0,0.15,0.12,8889,0.332,0.066,46.935881,8.27584,264.450030862296,28.8650575275734
Alpnach_20180804_15-03-00_ExposureStack_Image_10_image.png,08/04/2018 17:03:03.590#5932,430.45,428.14,37.53,6.35,38.95,1084.8125,1085.03125,38.63671875,38.70703125,0.04,0.13,8845,0.332,0.066,46.935881,8.27584,253.553879209584,37.7913271174593
Alpnach_20180804_15-42-10_ExposureStack_Image_10_image.png,08/04/2018 17:42:13.631#1928,310.91,309.61,35.5,6.08,36.89,1076.71875,1076.71875,36.515625,36.56640625,0.04,0.13,8876,0.333,0.065,46.935881,8.27584,261.695460173937,31.264761949935
Alpnach_20180804_15-05-30_ExposureStack_Image_10_image.png,08/04/2018 17:05:33.574#5612,440.41,438.1,37.29,6.33,38.71,1084.125,1084.21875,38.44140625,38.46875,0.03,0.13,8848,0.333,0.065,46.935881,8.27584,254.101550721964,37.3814150510527
Alpnach_20180804_15-25-50_ExposureStack_Image_10_image.png,08/04/2018 17:25:53.854#7266,429.32,427.04,37.42,6.39,38.83,1084.65625,1084.8125,38.6015625,38.546875,0.2,0.14,8845,0.331,0.066,46.935881,8.27584,258.405682434888,34.0103213378026
Alpnach_20180804_15-29-10_ExposureStack_Image_10_image.png,08/04/2018 17:29:13.577#4460,370.32,368.36,37.4,6.35,38.81,1084.59375,1084.5,38.46875,38.53125,0.28,0.14,8850,0.334,0.065,46.935881,8.27584,259.088132375395,33.4522766578373
Alpnach_20180804_16-23-50_ExposureStack_Image_10_image.png,08/04/2018 18:23:53.779#6545,112.79,112.36,34.78,6.0,36.27,1074.125,1074.21875,35.85546875,35.875,0.18,0.13,8888,0.33,0.066,46.935881,8.27584,269.593482370229,24.1814513141716
Alpnach_20180804_16-32-50_ExposureStack_Image_10_image.png,08/04/2018 18:32:53.658#70,94.5,94.15,34.6,6.0,36.06,1073.375,1073.375,35.59765625,35.61328125,0.15,0.13,8889,0.333,0.066,46.935881,8.27584,271.231458094894,22.6466923245329
Alpnach_20180804_16-41-50_ExposureStack_Image_10_image.png,08/04/2018 18:41:53.762#8748,95.34,94.98,34.64,5.98,36.14,1073.40625,1073.6875,35.734375,35.72265625,0.1,0.13,8892,0.332,0.066,46.935881,8.27584,272.852256318657,21.1132646556141
Alpnach_20180804_16-00-10_ExposureStack_Image_10_image.png,08/04/2018 18:00:13.559#7301,146.12,145.57,34.72,6.0,36.19,1074.125,1073.96875,35.7734375,35.7890625,0.22,0.13,8888,0.331,0.065,46.935881,8.27584,265.181787579661,28.2136405789913
Alpnach_20180804_16-06-00_ExposureStack_Image_10_image.png,08/04/2018 18:06:03.662#9943,151.08,150.51,34.67,6.0,36.15,1074.15625,1073.71875,35.7421875,35.7109375,0.1,0.13,8889,0.331,0.066,46.935881,8.27584,266.285292488231,27.2211704454118
Alpnach_20180804_16-58-40_ExposureStack_Image_10_image.png,08/04/2018 18:58:43.681#3383,97.82,97.42,35.31,6.1,36.74,1076.21875,1076.21875,36.39453125,36.375,0.16,0.13,8881,0.333,0.066,46.935881,8.27584,275.847517448302,18.2531285271987
Alpnach_20180804_17-41-20_ExposureStack_Image_10_image.png,08/04/2018 19:41:23.687#103,55.78,55.53,36.06,6.23,37.52,1079.4375,1079.28125,37.1640625,37.1875,0.15,0.12,8865,0.332,0.066,46.935881,8.27584,283.329246932276,11.1026255519709
Alpnach_20180804_17-17-00_ExposureStack_Image_10_image.png,08/04/2018 19:17:03.742#4370,77.28,76.97,35.3,6.11,36.79,1076.3125,1076.40625,36.3828125,36.43359375,0.11,0.13,8881,0.333,0.066,46.935881,8.27584,279.073050610073,15.1583224156533
Alpnach_20180804_17-28-40_ExposureStack_Image_10_image.png,08/04/2018 19:28:43.685#9561,64.6,64.32,35.82,6.19,37.28,1078.375,1078.4375,36.9765625,36.9453125,0.12,0.13,8871,0.332,0.065,46.935881,8.27584,281.114901081012,13.2049403526074
Alpnach_20180804_17-21-40_ExposureStack_Image_10_image.png,08/04/2018 19:21:43.796#7565,70.6,70.3,35.6,6.17,37.08,1077.71875,1077.59375,36.7421875,36.71875,0.13,0.12,8876,0.331,0.066,46.935881,8.27584,279.890464930796,14.3751620638829
Alpnach_20180804_17-13-30_ExposureStack_Image_10_image.png,08/04/2018 19:13:33.684#7343,84.55,84.2,35.41,6.08,36.87,1076.78125,1076.5625,36.5546875,36.53515625,0.14,0.14,8877,0.331,0.066,46.935881,8.27584,278.459274186609,15.7470332351835
Alpnach_20180804_17-19-20_ExposureStack_Image_10_image.png,08/04/2018 19:19:23.582#2349,73.53,73.22,35.44,6.15,36.92,1077.46875,1077.03125,36.515625,36.54296875,0.15,0.13,8880,0.331,0.066,46.935881,8.27584,279.481862685502,14.7664905171079
Alpnach_20180804_18-42-20_ExposureStack_Image_10_image.png,08/04/2018 20:42:23.916#9261,9.34,9.31,33.63,5.85,35.12,1069.5625,1069.6875,34.703125,34.67578125,0.11,0.12,8907,0.333,0.066,46.935881,8.27584,294.13714620302,1.50961839292305
Alpnach_20180804_18-54-10_ExposureStack_Image_10_image.png,08/04/2018 20:54:13.581#8260,5.16,5.15,33.06,5.74,34.56,1067.46875,1067.46875,34.1171875,34.11328125,0.14,0.13,8913,0.333,0.066,46.935881,8.27584,296.293662400277,-0.0769727110004027
Alpnach_20180804_18-55-00_ExposureStack_Image_10_image.png,08/04/2018 20:55:03.758#7154,4.75,4.74,33.06,5.73,34.49,1067.125,1067.1875,33.9453125,34.0390625,0.15,0.13,8918,0.332,0.066,46.935881,8.27584,296.446612157163,-0.182690796415005
Alpnach_20180804_18-37-00_ExposureStack_Image_10_image.png,08/04/2018 20:37:03.614#7637,14.65,14.6,34.01,5.9,35.48,1071.15625,1071.125,35.01171875,35.0703125,0.13,0.13,8900,0.331,0.065,46.935881,8.27584,293.173682424258,2.27958896085647
